node_id,x,y,is_counter,has_traffic_light
84554316,18.36,43.86,False,False
84554341,18.35,43.86,False,False
84554364,18.35,43.86,False,False
84558828,18.36,43.87,False,False
84558848,18.36,43.86,False,False
84558849,18.36,43.86,False,False
84558861,18.36,43.86,False,False
84558870,18.36,43.86,False,False
84558874,18.36,43.86,False,False
84566894,18.34,43.83,False,False
84567108,18.34,43.83,False,False
84567118,18.34,43.83,False,False
84567389,18.34,43.83,False,False
84567390,18.34,43.83,False,False
84567843,18.34,43.83,False,False
84567847,18.34,43.83,False,False
84567848,18.34,43.83,False,False
84567852,18.34,43.83,False,False
84567857,18.34,43.83,False,False
84567875,18.34,43.83,False,False
84567901,18.34,43.83,False,False
84568134,18.34,43.83,False,False
84568137,18.34,43.83,False,False
84568140,18.34,43.83,False,False
84568173,18.34,43.83,False,False
84568392,18.34,43.83,False,False
84569045,18.34,43.83,False,False
84569046,18.34,43.83,False,False
84569047,18.34,43.83,False,False
84569056,18.34,43.83,False,False
84569130,18.34,43.83,False,False
84569820,18.34,43.83,False,True
84569992,18.34,43.83,False,True
84570389,18.34,43.83,False,False
84570944,18.34,43.83,False,False
84571931,18.35,43.83,False,False
84571932,18.35,43.83,False,True
84573011,18.35,43.83,False,False
84573837,18.34,43.83,False,False
84574163,18.34,43.83,False,False
84574164,18.34,43.83,False,False
84574171,18.35,43.83,False,False
84574174,18.35,43.83,False,False
84574175,18.35,43.83,False,False
84574450,18.34,43.83,False,False
84574473,18.34,43.83,False,False
84574903,18.34,43.83,False,False
84574905,18.35,43.83,False,False
84574907,18.35,43.82,False,False
84575056,18.35,43.83,False,False
84575335,18.34,43.83,False,False
84575462,18.34,43.83,False,False
84575715,18.35,43.83,False,False
84575774,18.35,43.83,False,False
84575899,18.35,43.83,False,False
84576011,18.35,43.83,False,False
84576145,18.35,43.83,False,False
84576641,18.35,43.83,False,False
84576836,18.35,43.82,False,False
84577253,18.35,43.82,False,False
84577490,18.35,43.82,False,False
84577707,18.35,43.83,False,False
84577709,18.35,43.83,False,False
84578295,18.35,43.82,False,True
84578383,18.35,43.82,False,True
84578735,18.35,43.82,False,False
84587914,18.36,43.83,False,False
84587917,18.35,43.83,False,False
84588520,18.35,43.83,False,False
86041908,18.41,43.86,False,False
86041911,18.41,43.86,False,False
86042273,18.41,43.86,False,False
86042280,18.41,43.86,False,False
88948019,18.33,43.83,False,False
88948020,18.33,43.83,False,False
88948021,18.33,43.83,False,False
88954961,18.31,43.86,False,False
88959098,18.32,43.86,False,False
88959243,18.32,43.86,False,False
88959247,18.32,43.86,False,False
88959430,18.32,43.86,False,False
88959822,18.32,43.86,False,False
88959824,18.32,43.86,False,False
88959826,18.32,43.86,False,False
88959833,18.32,43.86,False,False
88959835,18.32,43.86,False,False
88959838,18.33,43.87,False,False
88959840,18.32,43.87,False,False
88960263,18.33,43.87,False,False
88960272,18.33,43.87,False,False
88960281,18.32,43.87,False,False
88960285,18.32,43.87,False,False
88960288,18.32,43.87,False,False
88960349,18.32,43.86,False,False
88960680,18.32,43.87,False,False
88960685,18.32,43.87,False,False
88960686,18.32,43.87,False,False
88960688,18.32,43.87,False,False
88960689,18.32,43.87,False,False
88960697,18.32,43.87,False,False
88961141,18.31,43.87,False,False
88962235,18.34,43.87,False,False
